id_proyecto,presupuesto_estimado,deadline_dias,cantidad_bugs,numero_desarrolladores,tipo_servicio,infraestructura_nube_previa,renovacion_contrato,horas_hombre_invertidas,fecha_entrega
PRJ-00001,33090.51,287,12,6,App Móvil,Sí,Sí,1065.9,2024-01-01
PRJ-00002,76303.57,74,11,1,App Móvil,Sí,Sí,1693.4,2024-01-01
PRJ-00003,59899.55,298,1,3,Portal Web,Sí,No,1334.8,2024-01-01
PRJ-00004,49899.39,340,5,8,Sistema SaaS,Sí,Sí,1458.3,2024-01-01
PRJ-00005,16701.4,189,1,9,Sistema SaaS,No,Sí,717.6,2024-01-01
PRJ-00006,16699.59,307,12,7,Sistema SaaS,Sí,Sí,787.4,2024-01-01
PRJ-00007,9356.27,84,7,4,App Móvil,No,No,470.0,2024-01-01
PRJ-00008,69963.21,174,13,7,App Móvil,Sí,No,1837.4,2024-01-01
PRJ-00009,50083.63,264,0,7,Sistema SaaS,Sí,Sí,1294.6,2024-01-01
PRJ-00010,58105.44,208,1,7,App Móvil,No,No,1517.0,2024-01-01
PRJ-00011,6543.84,237,13,8,Sistema SaaS,Sí,No,680.5,2024-01-01
PRJ-00012,77743.24,165,4,4,Portal Web,Sí,No,1772.0,2024-01-01
PRJ-00013,67433.2,304,5,4,Portal Web,Sí,Sí,1610.1,2024-01-01
PRJ-00014,20925.43,352,14,9,App Móvil,No,Sí,1030.4,2024-01-01
PRJ-00015,18636.87,212,8,8,E-commerce,No,No,818.6,2024-01-01
PRJ-00016,18755.34,90,5,4,Sistema SaaS,No,No,634.9,2024-01-01
PRJ-00017,27818.17,92,7,6,Portal Web,No,No,899.8,2024-01-01
PRJ-00018,44356.73,244,14,9,E-commerce,No,Sí,1426.3,2024-01-01
PRJ-00019,37395.88,168,11,6,Portal Web,Sí,No,1150.0,2024-01-01
PRJ-00020,26842.19,163,6,5,Sistema SaaS,Sí,Sí,827.7,2024-01-01
PRJ-00021,50888.97,63,0,7,Sistema SaaS,Sí,Sí,1309.6,2024-01-01
PRJ-00022,15462.04,222,1,2,Portal Web,Sí,Sí,402.8,2024-01-01
PRJ-00023,26910.85,349,3,8,App Móvil,Sí,Sí,928.5,2024-01-01
