presupuesto_usd,deadline_dias,tipo_servicio,infraestructura_cloud,horas_hombre
1564.01,112,Sitio_Web,0,77.3
10843.77,27,Plataforma_SaaS,0,516.0
6700.3,70,App_Movil,1,311.3
9336.28,171,App_Movil,0,506.9
1495.85,33,Sitio_Web,0,75.8
1973.37,61,Sitio_Web,1,93.8
2050.94,35,Sitio_Web,0,121.6
24576.22,154,Plataforma_SaaS,1,966.2
11592.0,31,App_Movil,0,633.1
10201.24,76,App_Movil,0,548.6
1573.31,69,Sitio_Web,0,80.5
8224.67,170,Plataforma_SaaS,0,380.3
12704.27,136,Plataforma_SaaS,1,519.2
1653.74,156,Sitio_Web,0,95.4
2418.96,22,Sitio_Web,0,157.0
3288.73,152,Sitio_Web,0,213.0
3546.63,106,Sitio_Web,0,223.0
10603.78,36,App_Movil,1,471.8
6237.08,51,App_Movil,0,311.8
2999.15,25,Sitio_Web,1,153.1
5815.51,40,App_Movil,1,282.6
994.9,147,Sitio_Web,0,59.3
3045.01,177,Sitio_Web,1,132.4
831.45,68,Sitio_Web,0,43.1
6682.64,124,App_Movil,0,359.0
12928.83,106,Plataforma_SaaS,0,609.6
3018.81,28,Sitio_Web,1,125.3
9896.21,117,App_Movil,1,444.4
5736.85,170,App_Movil,0,301.9
3397.21,79,Sitio_Web,1,187.6
5645.25,153,App_Movil,0,305.9
2228.24,44,Sitio_Web,0,138.4
3126.46,76,Sitio_Web,0,186.4
19472.56,122,Plataforma_SaaS,1,779.8
24772.63,85,Plataforma_SaaS,1,974.4
11052.9,154,Plataforma_SaaS,0,520.1
2919.42,15,Sitio_Web,0,186.1
2750.98,38,Sitio_Web,0,167.2
11235.89,138,App_Movil,0,602.8
4407.26,56,App_Movil,0,242.9
3205.75,88,Sitio_Web,1,165.3
8114.42,11,App_Movil,0,458.1
1678.93,154,Sitio_Web,0,102.4
15539.83,93,Plataforma_SaaS,0,735.3
1868.09,132,Sitio_Web,1,92.2
8213.82,81,App_Movil,1,375.7
3644.8,171,Sitio_Web,0,228.6
8123.74,28,App_Movil,1,349.4
8685.5,74,App_Movil,0,471.6
2459.99,50,Sitio_Web,0,138.6
7920.98,40,Plataforma_SaaS,0,374.5
11191.45,83,Plataforma_SaaS,0,545.6
15856.03,48,Plataforma_SaaS,0,768.6
