id_proyecto,presupuesto_estimado,deadline_dias,cantidad_bugs,numero_desarrolladores,tipo_servicio,infraestructura_nube_previa,renovacion_contrato,horas_hombre_invertidas,fecha_entrega
PRJ-00001,33090.51,249,7,8,App Móvil,No,Sí,1119.5,2024-01-01
PRJ-00002,76303.57,192,13,2,E-commerce,Sí,No,1798.1,2024-01-01
PRJ-00003,59899.55,249,7,7,Portal Web,Sí,No,1583.2,2024-01-01
PRJ-00004,49899.39,299,2,6,App Móvil,Sí,No,1286.8,2024-01-01
PRJ-00005,16701.4,149,11,9,E-commerce,No,No,912.0,2024-01-01
PRJ-00006,16699.59,211,11,7,Sistema SaaS,No,No,795.9,2024-01-01
PRJ-00007,9356.27,135,13,1,App Móvil,Sí,Sí,394.3,2024-01-01
PRJ-00008,69963.21,246,6,8,Sistema SaaS,Sí,Sí,1812.4,2024-01-01
PRJ-00009,50083.63,234,0,3,App Móvil,No,No,1160.8,2024-01-01
PRJ-00010,58105.44,99,0,2,E-commerce,No,Sí,1232.6,2024-01-01
PRJ-00011,6543.84,73,6,3,E-commerce,Sí,No,311.0,2024-01-01
PRJ-00012,77743.24,358,14,6,E-commerce,No,Sí,1995.7,2024-01-01
PRJ-00013,67433.2,330,14,3,Portal Web,Sí,Sí,1591.6,2024-01-01
PRJ-00014,20925.43,257,9,5,Sistema SaaS,Sí,No,766.8,2024-01-01
PRJ-00015,18636.87,213,8,6,Portal Web,No,No,748.2,2024-01-01
PRJ-00016,18755.34,136,6,8,App Móvil,No,Sí,798.3,2024-01-01
PRJ-00017,27818.17,113,9,7,Sistema SaaS,No,Sí,972.8,2024-01-01
PRJ-00018,44356.73,279,4,8,E-commerce,Sí,No,1292.2,2024-01-01
PRJ-00019,37395.88,50,7,3,Sistema SaaS,No,Sí,947.2,2024-01-01
PRJ-00020,26842.19,225,1,4,E-commerce,No,Sí,733.5,2024-01-01
PRJ-00021,50888.97,207,8,6,Portal Web,Sí,No,1377.5,2024-01-01
PRJ-00022,15462.04,36,5,7,Portal Web,Sí,Sí,687.1,2024-01-01
PRJ-00023,26910.85,99,12,9,E-commerce,No,No,1083.3,2024-01-01
PRJ-00024,32477.14,156,8,1,E-commerce,Sí,No,781.7,2024-01-01
PRJ-00025,39205.25,189,1,8,App Móvil,Sí,No,1163.1,2024-01-02
PRJ-00026,63888.2,277,2,8,Portal Web,Sí,Sí,1681.3,2024-01-02
PRJ-00027,19975.53,232,11,6,Portal Web,No,Sí,788.4,2024-01-02
PRJ-00028,43567.58,177,7,4,App Móvil,No,No,1145.2,2024-01-02
PRJ-00029,49431.09,172,0,3,Portal Web,Sí,No,1136.6,2024-01-02
PRJ-00030,8483.78,228,14,3,E-commerce,Sí,Sí,440.6,2024-01-02
PRJ-00031,50565.86,183,9,6,Sistema SaaS,Sí,Sí,1413.7,2024-01-02
PRJ-00032,17789.31,171,14,8,Sistema SaaS,No,Sí,935.2,2024-01-02
PRJ-00033,9878.87,342,14,7,Portal Web,Sí,No,678.4,2024-01-02
PRJ-00034,76166.42,194,14,1,App Móvil,Sí,No,1732.0,2024-01-02
PRJ-00035,77422.4,343,6,6,E-commerce,No,Sí,1885.1,2024-01-02
PRJ-00036,65629.8,50,6,7,Sistema SaaS,Sí,Sí,1715.1,2024-01-02
PRJ-00037,27846.03,111,12,7,E-commerce,No,Sí,1028.7,2024-01-02
PRJ-00038,12325.41,98,0,9,Portal Web,No,No,611.7,2024-01-02
PRJ-00039,56317.48,160,8,5,Portal Web,No,No,1425.7,2024-01-02
PRJ-00040,38011.44,116,7,1,Sistema SaaS,Sí,Sí,901.9,2024-01-02
PRJ-00041,14152.87,247,3,2,Portal Web,Sí,Sí,405.4,2024-01-02
PRJ-00042,42138.27,334,9,4,App Móvil,No,No,1101.6,2024-01-02
PRJ-00043,7579.14,190,10,5,Portal Web,Sí,No,534.1,2024-01-02
PRJ-00044,73199.03,207,4,9,Portal Web,No,Sí,1897.0,2024-01-02
PRJ-00045,24408.5,146,1,1,Portal Web,Sí,Sí,546.1,2024-01-02
PRJ-00046,54689.17,225,12,3,E-commerce,No,Sí,1368.5,2024-01-02
PRJ-00047,28378.33,356,8,5,E-commerce,No,No,861.6,2024-01-02
PRJ-00048,44005.1,115,14,3,Sistema SaaS,Sí,Sí,1187.7,2024-01-02
PRJ-00049,46003.27,318,11,4,Sistema SaaS,Sí,No,1241.9,2024-01-03
PRJ-00050,18864.08,110,11,3,Sistema SaaS,Sí,No,632.6,2024-01-03
PRJ-00051,77718.85,181,5,4,Portal Web,Sí,Sí,1786.0,2024-01-03
PRJ-00052,63134.96,90,2,1,E-commerce,No,Sí,1346.7,2024-01-03
PRJ-00053,75462.42,90,11,8,App Móvil,No,No,1951.9,2024-01-03
PRJ-00054,72112.05,57,6,4,Portal Web,Sí,Sí,1673.1,2024-01-03
PRJ-00055,49842.5,72,8,7,Portal Web,Sí,No,1413.2,2024-01-03
PRJ-00056,74140.57,198,2,2,Portal Web,No,Sí,1583.6,2024-01-03
PRJ-00057,11636.94,115,1,2,App Móvil,Sí,Sí,321.2,2024-01-03
PRJ-00058,19698.71,206,6,6,Sistema SaaS,Sí,Sí,758.5,2024-01-03
PRJ-00059,8392.05,46,6,2,App Móvil,Sí,Sí,314.0,2024-01-03
PRJ-00060,29399.77,127,3,6,Sistema SaaS,Sí,No,943.5,2024-01-03
PRJ-00061,34150.8,227,10,2,App Móvil,No,No,849.2,2024-01-03
PRJ-00062,25351.18,127,8,4,E-commerce,No,No,727.7,2024-01-03
PRJ-00063,67155.31,94,13,7,Portal Web,Sí,Sí,1836.1,2024-01-03
PRJ-00064,31756.5,359,7,8,Portal Web,No,No,1054.5,2024-01-03
PRJ-00065,26070.09,34,12,3,Portal Web,Sí,No,776.2,2024-01-03
PRJ-00066,45702.21,31,12,9,Sistema SaaS,Sí,No,1487.7,2024-01-03
PRJ-00067,15569.32,51,0,2,App Móvil,Sí,Sí,389.0,2024-01-03
PRJ-00068,65164.77,141,0,8,E-commerce,No,No,1686.1,2024-01-03
PRJ-00069,10591.3,86,4,8,App Móvil,No,Sí,604.6,2024-01-03
PRJ-00070,79016.52,95,5,4,Portal Web,No,Sí,1829.4,2024-01-03
PRJ-00071,62918.36,359,2,1,E-commerce,No,No,1314.6,2024-01-03
PRJ-00072,19903.68,127,12,1,E-commerce,No,Sí,564.1,2024-01-03
PRJ-00073,5414.16,173,8,2,Portal Web,Sí,No,337.5,2024-01-04
PRJ-00074,66159.61,154,11,9,App Móvil,Sí,No,1888.1,2024-01-04
PRJ-00075,58014.3,196,9,2,Portal Web,No,No,1340.1,2024-01-04
PRJ-00076,59675.54,115,13,2,App Móvil,No,No,1435.1,2024-01-04
PRJ-00077,62845.28,105,14,6,E-commerce,No,No,1731.8,2024-01-04
PRJ-00078,10553.35,323,5,7,E-commerce,Sí,Sí,561.4,2024-01-04
PRJ-00079,31884.93,88,3,7,Portal Web,No,No,965.3,2024-01-04
PRJ-00080,13690.18,167,11,9,E-commerce,Sí,Sí,822.6,2024-01-04
PRJ-00081,69732.76,128,6,6,Sistema SaaS,Sí,No,1793.4,2024-01-04
PRJ-00082,51747.36,221,7,8,E-commerce,No,No,1480.3,2024-01-04
PRJ-00083,29817.35,272,8,6,Sistema SaaS,Sí,No,988.6,2024-01-04
PRJ-00084,9766.88,348,12,2,E-commerce,Sí,Sí,403.9,2024-01-04
PRJ-00085,28323.67,78,10,1,Portal Web,No,Sí,740.5,2024-01-04
PRJ-00086,29388.75,61,5,5,Portal Web,Sí,Sí,863.8,2024-01-04
PRJ-00087,59720.46,306,14,9,Sistema SaaS,No,Sí,1814.1,2024-01-04
PRJ-00088,52816.81,49,5,8,Portal Web,Sí,No,1516.3,2024-01-04
PRJ-00089,71540.96,183,7,4,E-commerce,No,No,1751.8,2024-01-04
PRJ-00090,40416.12,97,11,5,E-commerce,No,Sí,1147.9,2024-01-04
PRJ-00091,13969.57,243,4,5,Portal Web,Sí,Sí,553.3,2024-01-04
PRJ-00092,58493.36,172,13,6,E-commerce,No,Sí,1605.2,2024-01-04
PRJ-00093,62058.88,261,2,3,App Móvil,Sí,No,1383.8,2024-01-04
PRJ-00094,47095.79,242,11,5,App Móvil,Sí,Sí,1302.2,2024-01-04
PRJ-00095,62822.54,108,2,2,E-commerce,No,Sí,1393.2,2024-01-04
PRJ-00096,42034.67,243,12,1,Portal Web,Sí,No,1015.9,2024-01-04
PRJ-00097,44204.96,145,5,1,Sistema SaaS,No,Sí,971.5,2024-01-05
PRJ-00098,37065.58,121,1,7,Portal Web,Sí,No,1049.1,2024-01-05
PRJ-00099,6906.43,299,5,2,Sistema SaaS,Sí,No,254.5,2024-01-05
PRJ-00100,13091.86,197,12,4,Portal Web,No,No,607.2,2024-01-05
PRJ-00101,7357.19,87,5,5,E-commerce,Sí,No,414.5,2024-01-05
PRJ-00102,52730.78,313,7,7,App Móvil,Sí,No,1433.3,2024-01-05
PRJ-00103,28576.7,55,6,2,Portal Web,Sí,Sí,746.8,2024-01-05
PRJ-00104,43142.8,95,7,6,Sistema SaaS,Sí,Sí,1216.6,2024-01-05
PRJ-00105,73067.49,277,13,1,App Móvil,Sí,No,1649.2,2024-01-05
PRJ-00106,23696.92,283,8,7,Sistema SaaS,Sí,No,905.2,2024-01-05
PRJ-00107,35778.72,73,5,9,E-commerce,Sí,Sí,1166.4,2024-01-05
PRJ-00108,61666.34,126,13,5,App Móvil,Sí,Sí,1559.9,2024-01-05
PRJ-00109,22159.86,71,2,5,Sistema SaaS,No,No,725.5,2024-01-05
PRJ-00110,10773.49,256,9,4,Portal Web,Sí,Sí,482.8,2024-01-05
PRJ-00111,26731.36,291,2,3,E-commerce,Sí,Sí,675.7,2024-01-05
PRJ-00112,17091.6,196,10,9,E-commerce,No,No,849.0,2024-01-05
PRJ-00113,74727.32,308,11,5,E-commerce,No,Sí,1853.0,2024-01-05
PRJ-00114,65609.03,118,0,8,Portal Web,No,Sí,1665.3,2024-01-05
PRJ-00115,52505.28,207,10,9,Portal Web,Sí,Sí,1599.8,2024-01-05
PRJ-00116,70359.54,226,14,5,App Móvil,No,Sí,1841.3,2024-01-05
PRJ-00117,65275.41,336,12,9,Portal Web,No,No,1837.5,2024-01-05
PRJ-00118,18992.75,296,14,2,App Móvil,Sí,Sí,614.4,2024-01-05
PRJ-00119,71941.92,297,4,9,E-commerce,Sí,No,1878.8,2024-01-05
PRJ-00120,45450.67,103,13,4,App Móvil,No,Sí,1256.0,2024-01-05
PRJ-00121,65558.01,37,3,6,Sistema SaaS,No,No,1614.3,2024-01-06
PRJ-00122,72206.85,326,8,6,E-commerce,Sí,No,1797.6,2024-01-06
PRJ-00123,28850.26,193,14,6,E-commerce,Sí,Sí,982.6,2024-01-06
PRJ-00124,13253.89,114,8,2,App Móvil,Sí,No,395.9,2024-01-06
PRJ-00125,22095.14,101,14,7,E-commerce,Sí,No,899.8,2024-01-06
PRJ-00126,37033.08,84,13,6,Portal Web,Sí,No,1198.3,2024-01-06
PRJ-00127,66351.11,76,4,1,Sistema SaaS,No,No,1430.9,2024-01-06
PRJ-00128,69554.79,267,9,2,App Móvil,Sí,No,1584.3,2024-01-06
PRJ-00129,5521.41,133,3,7,App Móvil,Sí,Sí,479.7,2024-01-06
PRJ-00130,43306.05,239,6,1,E-commerce,Sí,No,950.9,2024-01-06
PRJ-00131,36305.83,71,14,1,Portal Web,Sí,No,940.5,2024-01-06
PRJ-00132,21658.09,345,5,1,E-commerce,Sí,Sí,493.5,2024-01-06
PRJ-00133,13989.9,297,3,8,E-commerce,No,Sí,684.4,2024-01-06
PRJ-00134,30321.14,292,12,4,App Móvil,Sí,No,936.9,2024-01-06
PRJ-00135,75718.23,288,12,4,E-commerce,No,Sí,1845.4,2024-01-06
PRJ-00136,29240.22,312,14,2,Sistema SaaS,Sí,Sí,872.0,2024-01-06
PRJ-00137,43909.3,143,9,1,E-commerce,No,Sí,1050.6,2024-01-06
PRJ-00138,57726.42,69,1,9,E-commerce,No,Sí,1541.3,2024-01-06
PRJ-00139,32272.22,249,0,7,App Móvil,Sí,Sí,990.0,2024-01-06
PRJ-00140,77883.66,158,3,4,E-commerce,Sí,Sí,1768.4,2024-01-06
PRJ-00141,77183.55,37,3,6,Portal Web,Sí,No,1800.4,2024-01-06
PRJ-00142,23883.67,130,12,2,App Móvil,Sí,No,709.0,2024-01-06
PRJ-00143,42293.64,205,0,7,E-commerce,Sí,Sí,1177.1,2024-01-06
PRJ-00144,27565.87,136,5,2,Sistema SaaS,No,Sí,676.0,2024-01-06
PRJ-00145,26363.04,130,3,8,Sistema SaaS,Sí,No,956.6,2024-01-07
PRJ-00146,7766.52,289,0,8,App Móvil,Sí,Sí,492.2,2024-01-07
PRJ-00147,50717.33,275,0,1,App Móvil,No,No,1047.3,2024-01-07
PRJ-00148,42700.93,304,14,8,E-commerce,Sí,Sí,1365.4,2024-01-07
PRJ-00149,8860.91,61,12,2,Portal Web,No,No,368.5,2024-01-07
PRJ-00150,25898.48,166,0,6,E-commerce,Sí,No,763.1,2024-01-07
PRJ-00151,73119.94,41,7,1,Sistema SaaS,No,Sí,1573.6,2024-01-07
PRJ-00152,22967.14,331,9,5,Portal Web,Sí,Sí,789.1,2024-01-07
PRJ-00153,15867.12,45,7,7,Portal Web,No,Sí,641.3,2024-01-07
PRJ-00154,41708.96,158,1,1,Portal Web,No,Sí,909.1,2024-01-07
PRJ-00155,78923.78,92,10,2,E-commerce,Sí,No,1806.1,2024-01-07
PRJ-00156,23154.15,138,12,7,Sistema SaaS,Sí,Sí,951.6,2024-01-07
PRJ-00157,55410.17,50,6,6,App Móvil,Sí,No,1412.9,2024-01-07
PRJ-00158,62121.47,187,13,3,E-commerce,No,Sí,1526.1,2024-01-07
PRJ-00159,22822.82,298,7,2,App Móvil,No,No,654.0,2024-01-07
PRJ-00160,59616.23,191,7,4,Portal Web,No,Sí,1482.0,2024-01-07
PRJ-00161,32583.73,289,10,3,Portal Web,Sí,Sí,943.6,2024-01-07
PRJ-00162,52422.94,131,9,7,E-commerce,Sí,No,1474.0,2024-01-07
PRJ-00163,52514.73,252,14,8,Sistema SaaS,No,Sí,1576.9,2024-01-07
PRJ-00164,45183.1,88,10,2,Portal Web,Sí,Sí,1074.7,2024-01-07
PRJ-00165,11771.73,276,12,7,App Móvil,No,Sí,721.1,2024-01-07
PRJ-00166,67647.69,157,6,8,App Móvil,Sí,Sí,1773.4,2024-01-07
PRJ-00167,29058.5,312,4,6,E-commerce,Sí,Sí,900.0,2024-01-07
PRJ-00168,18988.89,354,0,6,App Móvil,No,No,649.0,2024-01-07
PRJ-00169,8058.14,54,11,1,Sistema SaaS,Sí,Sí,278.3,2024-01-08
PRJ-00170,49316.97,160,8,4,Portal Web,Sí,No,1242.1,2024-01-08
PRJ-00171,55817.33,225,12,1,App Móvil,Sí,Sí,1316.7,2024-01-08
PRJ-00172,6244.09,310,6,4,App Móvil,Sí,Sí,375.7,2024-01-08
PRJ-00173,43406.98,183,1,2,Portal Web,Sí,No,981.7,2024-01-08
PRJ-00174,21987.18,162,5,5,E-commerce,No,No,744.3,2024-01-08
PRJ-00175,53387.96,256,1,9,App Móvil,Sí,No,1464.2,2024-01-08
PRJ-00176,18077.48,218,14,3,E-commerce,No,No,651.7,2024-01-08
PRJ-00177,56820.33,294,0,8,E-commerce,Sí,No,1492.9,2024-01-08
PRJ-00178,34005.15,163,13,3,App Móvil,Sí,Sí,990.4,2024-01-08
PRJ-00179,75254.75,240,6,6,Sistema SaaS,No,No,1841.2,2024-01-08
PRJ-00180,15314.07,89,12,4,E-commerce,No,No,585.8,2024-01-08
PRJ-00181,30579.98,242,1,8,App Móvil,Sí,Sí,978.6,2024-01-08
PRJ-00182,13510.51,245,12,6,E-commerce,Sí,Sí,702.5,2024-01-08
PRJ-00183,74352.02,255,13,8,Portal Web,No,No,2037.0,2024-01-08
